send,receive,expSetId,intro,専攻 0:y 1: n,ピアノ経験,音楽経験,intro,ba_1,pr_2,pr_1,po_2,ba_3,po_3,hu_3,pr_3,ba_0,pr_0,ba_2,po_1,hu_0,hu_2,hu_1,po_0,intro,32hu_1,32hu_2,32pr_3,32pr_0,32pr_2,32hu_3,32pr_1,32hu_0,intro
2023/06/01 12:14,2023-6-1 12:14:05,1,## INTRODUCTION ##,1,0,1,なし,## INTRODUCTION ##,1,1,,,,,,,,,,,,,,,,,,,,,,,
2024/12/14 14:57,2024-12-14 14:57:30,1,0,543,## INTRODUCTION ##,## INTRODUCTION ##,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/24 18:09,2024-12-24 18:09:08,1,## INTRODUCTION ##,0,0,0,## INTRODUCTION ##,243,145,## INTRODUCTION ##,## INTRODUCTION ##,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 16:13,2024-12-25 16:13:09,-10,## INTRODUCTION ##,1,0,0,## INTRODUCTION ##,333,443,345,254,254,254,434,444,243,243,453,423,134,423,243,335,## INTRODUCTION ##,2424,3543,3434,2533,3533,4152,1551,2534,## INTRODUCTION ##
2024/12/25 16:55,2024-12-25 16:55:53,-1,## INTRODUCTION ##,0,1,1,## INTRODUCTION ##,243,234,234,234,432,234,234,234,234,234,123,234,234,123,123,345,## INTRODUCTION ##,2345,2345,1234,2345,2344,2223,4334,2345,## INTRODUCTION ##
2024/12/25 17:24,2024-12-25 17:24:15,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,542,343,554,325,454,445,243,143,212,313,555,444,223,444,554,## INTRODUCTION ##,5435,5555,3344,5445,3345,5555,3534,5555,## INTRODUCTION ##
2024/12/25 17:46,2024-12-25 17:45:59,0,## INTRODUCTION ##,0,0,1,## INTRODUCTION ##,334,333,443,444,323,334,455,432,334,332,223,343,344,432,323,444,## INTRODUCTION ##,3354,2343,3155,3255,3344,5455,3344,4554,## INTRODUCTION ##
2024/12/25 17:46,2024-12-25 17:46:48,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,333,244,422,424,124,233,543,542,324,323,223,442,444,553,435,454,## INTRODUCTION ##,4353,4355,4324,3314,2323,5344,3424,4454,## INTRODUCTION ##
2024/12/25 18:03,2024-12-25 18:03:22,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,444,555,554,223,344,334,442,234,444,333,455,555,442,334,444,## INTRODUCTION ##,4444,4544,3323,4324,2233,4455,2333,5555,## INTRODUCTION ##
2024/12/25 18:10,2024-12-25 18:11:00,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,232,444,545,555,322,544,555,432,222,322,332,554,544,543,544,545,## INTRODUCTION ##,5455,5555,5345,5555,3355,5555,5555,3433,## INTRODUCTION ##
2024/12/25 18:31,2024-12-25 18:31:28,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,433,321,334,443,333,443,223,333,243,332,333,234,444,344,343,334,## INTRODUCTION ##,3444,3423,4223,4433,3444,4444,2333,3544,## INTRODUCTION ##
2024/12/25 18:35,2024-12-25 18:35:01,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,344,455,555,443,233,444,444,545,334,444,233,444,545,443,444,444,## INTRODUCTION ##,4444,4444,3344,4344,4344,3443,4343,3344,## INTRODUCTION ##
2024/12/25 19:09,2024-12-25 19:09:26,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,112,543,554,243,122,243,455,232,122,232,121,234,353,455,555,234,## INTRODUCTION ##,4545,4455,1212,4524,3243,5555,2312,2332,## INTRODUCTION ##
2024/12/25 19:49,2024-12-25 19:49:29,1,## INTRODUCTION ##,1,1,0,## INTRODUCTION ##,344,453,454,354,343,454,554,444,245,332,234,344,553,243,443,555,## INTRODUCTION ##,5433,3544,1334,4414,2332,5555,2423,3534,## INTRODUCTION ##
2024/12/25 19:59,2024-12-25 19:59:29,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,234,544,543,445,223,455,544,354,123,233,233,345,554,444,443,354,## INTRODUCTION ##,5454,5455,3423,3424,2223,5555,2333,5455,## INTRODUCTION ##
2024/12/25 21:29,2024-12-25 21:29:46,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,111,221,443,342,111,344,554,543,222,111,111,455,555,542,553,555,## INTRODUCTION ##,2345,5545,2245,2125,2244,4455,1122,4455,## INTRODUCTION ##
2024/12/25 21:50,2024-12-25 21:50:27,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,224,432,333,443,223,454,433,322,222,222,324,223,533,333,544,333,## INTRODUCTION ##,3333,5444,3354,3333,2332,4444,3333,4444,## INTRODUCTION ##
2024/12/25 22:22,2024-12-25 22:22:32,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,442,433,432,243,333,344,244,232,344,222,444,244,244,244,233,355,## INTRODUCTION ##,5455,3244,3243,3242,4344,5555,3343,4443,## INTRODUCTION ##
2024/12/26 9:05,2024-12-26 9:05:23,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,234,332,443,322,322,222,233,333,443,333,444,333,234,224,233,254,## INTRODUCTION ##,3434,3434,3222,2344,3233,2433,3332,2223,## INTRODUCTION ##
2024/12/26 12:30,2024-12-26 12:30:09,0,## INTRODUCTION ##,1,1,0,## INTRODUCTION ##,243,241,542,233,234,233,242,351,222,242,125,443,452,541,231,442,## INTRODUCTION ##,4434,4544,3325,4345,3233,4554,2324,4554,## INTRODUCTION ##
2024/12/26 12:47,2024-12-26 12:47:25,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,223,322,444,344,334,344,344,433,333,223,233,344,444,454,554,445,## INTRODUCTION ##,2233,3343,4344,4523,3444,5555,3434,4544,## INTRODUCTION ##
2024/12/26 12:50,2024-12-26 12:50:31,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,443,444,454,323,444,454,443,233,233,233,344,443,333,444,444,## INTRODUCTION ##,4444,4354,3434,4434,3333,5555,3334,4555,## INTRODUCTION ##
2024/12/26 13:45,2024-12-26 13:45:21,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,442,542,243,233,454,455,333,233,232,234,444,454,333,443,454,## INTRODUCTION ##,4453,4545,3325,5434,3324,5544,3334,3434,## INTRODUCTION ##
2024/12/26 14:21,2024-12-26 14:21:37,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,444,544,333,223,334,444,432,233,433,233,244,554,455,555,333,## INTRODUCTION ##,4344,5545,3434,3323,2322,4555,3432,3333,## INTRODUCTION ##
2024/12/26 15:56,2024-12-26 15:56:51,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,332,233,434,223,344,553,432,224,243,124,254,453,442,532,535,## INTRODUCTION ##,5535,4445,2314,5434,3344,5455,4524,4344,## INTRODUCTION ##
2024/12/26 17:09,2024-12-26 17:09:24,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,332,553,232,333,454,444,552,453,345,452,233,433,553,434,442,## INTRODUCTION ##,3334,4422,4422,3323,4423,4444,3323,3333,## INTRODUCTION ##
2024/12/26 17:31,2024-12-26 17:31:44,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,234,422,542,543,223,543,443,432,213,233,124,333,443,432,543,433,## INTRODUCTION ##,2323,4455,4444,4455,3332,5544,3332,4433,## INTRODUCTION ##
2024/12/26 20:33,2024-12-26 20:33:52,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,324,431,443,555,344,455,345,443,124,222,223,335,445,454,432,224,## INTRODUCTION ##,3444,4544,4244,4344,3234,4545,2234,4535,## INTRODUCTION ##
2024/12/26 20:46,2024-12-26 20:46:49,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,432,544,335,223,455,554,433,223,333,324,455,454,455,443,355,## INTRODUCTION ##,4425,5525,5425,4425,4325,5525,3425,4424,## INTRODUCTION ##
2024/12/26 23:25,2024-12-26 23:25:07,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,222,332,432,334,223,354,334,444,222,232,222,453,554,554,555,333,## INTRODUCTION ##,2223,2334,3223,3223,2323,2244,2223,3444,## INTRODUCTION ##
